"label_key","value","json_file"
"floor","Floor","mining-view.json"
"current-block-time","Current block time","mining-view.json"
"your-reward-is","Your reward is","mining-view.json"
"connection-to-node-lost","Connection to miner lost. Please wait for the miner to reconnect or restart the miner.","mining-view.json"
"mining-button-text.starting-mining","Starting Mining","mining-view.json"
"mining-button-text.start-mining","Start Mining","mining-view.json"
"mining-button-text.stop-mining","Stop Mining","mining-view.json"
"mining-button-text.changing-mode","Changing mode","mining-view.json"
"mining-button-text.cancel-mining","Cancel Mining","mining-view.json"
"mining-button-text.waiting-for-idle","Waiting for Idle","mining-view.json"
"mining-button-text.started-auto-mining","Auto Mining Started","mining-view.json"
"auto-miner","Auto Miner","sidebar.json"
"auto-miner-description","Auto miner will turn on your miner when your machine is idle","sidebar.json"
"next-milestone","Next Milestone","sidebar.json"
"wallet-balance","Wallet Balance","sidebar.json"
"setup-scheduler","Setup Scheduler","sidebar.json"
"mining-schedules","Mining Schedules","sidebar.json"
"mining-schedules-description","Schedule your mining activity","sidebar.json"
"lost-connection","Lost connection to the Tari Network. Reconnecting..","sidebar.json"
"settings","Settings","settings.json"
"seed-words","Seed words","settings.json"
"send-logs","Submit an Issue & Logs","settings.json"
"your-feedback","Please describe your issue","settings.json"
"feedback-required","Feedback is required","settings.json"
"your-reference","Your reference:<br/><bold>{{logRef}}</bold>","settings.json"
"change-language","Language","settings.json"
"logs","Logs","settings.json"
"open-logs-directory","Open logs directory","settings.json"
"debug-info","Debug","settings.json"
"hardware-status","Hardware status","settings.json"
"update-versions","Update versions","settings.json"
"refresh-versions","Refresh versions","settings.json"
"idle-timeout.title","Time after which machine is considered idle","settings.json"
"idle-timeout.placeholder","Enter idle timeout in seconds","settings.json"
"idle-timeout.max","Maximum is 21600 seconds","settings.json"
"idle-timeout.min","Minimum is 1 second","settings.json"
"tabs.general","General","settings.json"
"tabs.mining","Mining","settings.json"
"tabs.experimental","Experimental","settings.json"
"monero-address.title","Monero address","settings.json"
"monero-address.placeholder","Enter Monero address","settings.json"
"last-block-added-time","Last block added to chain time","settings.json"
"visual-mode","Visual mode","settings.json"
"pool-mining","Pool Mining","settings.json"
"pool-mining-description","When enabled, you will mine in a pool and join a group of miners.","settings.json"
"cpu-mining-enabled","CPU Mining","settings.json"
"gpu-mining-enabled","GPU Mining","settings.json"
"gpu-unavailable","⚠️ GPU disabled because your hardware does not support it","settings.json"
