"json_file","key","english","af","cn","hi","id","ja","ko","pl","ru","tr"
"mining-view.json","floor","Floor","Vloer","地板","न्यूनतम स्तर","Batas Bawah","フロア","최저값","Poziom","Минимум","Zemin"
"mining-view.json","current-block-time","Current block time","Huidige bloktyd","当前区块时间","वर्तमान ब्लॉक समय","Waktu blok saat ini","現在のブロック時間","현재 블록 시간","Aktualny czas bloku","Текущее время блока","Geçerli blok zamanı"
"mining-view.json","your-reward-is","Your reward is","Jou beloning is","你的奖励是","आपका इनाम है","Hadiah Anda adalah","あなたの報酬は","당신의 보상은","Twoja nagroda wynosi","Ваше вознаграждение","Ödülünüz"
"mining-view.json","connection-to-node-lost","Connection to miner lost. Please wait for the miner to reconnect or restart the miner.","Kontak met mynwerker verloor. Wag asseblief vir mynwerker om kontak te maak of begin weer.","与矿工的连接丢失。请等待矿机重新连接或重启矿机.","माइनर से कनेक्शन खो गया। कृपया माइनर के पुनः कनेक्ट होने या पुनः आरंभ करने की प्रतीक्षा करें।","Koneksi ke penambang terputus. Harap tunggu penambang untuk menyambung kembali atau mulai ulang penambang.","マイナーへの接続が失われました。マイナーが再接続するか、再起動するのをお待ちください。","마이너와의 연결이 끊어졌습니다. 마이너가 다시 연결되거나 재시작될 때까지 기다려주세요.","Połączenie z węzłem kopania zostało utracone. Poczekaj, aż wznowi połącznie lub uruchom go ponownie.","Соединение с майнером потеряно. Пожалуйста, подождите, пока майнер переподключится, или перезапустите его.","Madenciyle bağlantı kesildi. Lütfen madencinin yeniden bağlanmasını bekleyin veya madenciyi yeniden başlatın."
"mining-view.json","mining-button-text.starting-mining","Starting Mining","Myn begin","开始挖矿","माइनिंग शुरू हो रही है","Memulai Penambangan","マイニング開始","채굴 시작 중","Uruchamianie kopania","Запуск майнинга","Madenci Başlatılıyor"
"mining-view.json","mining-button-text.start-mining","Start Mining","Begin myn","开始挖矿","माइनिंग शुरू करें","Mulai Menambang","マイニングを開始","채굴 시작","Uruchom kopanie","Начать майнинг","Madenciyi Başlat"
"mining-view.json","mining-button-text.stop-mining","Stop Mining","Stop Mynbou","停止挖矿","माइनिंग रोकें","Hentikan Penambangan","マイニングを停止","채굴 중지","Zatrzymaj kopanie","Остановить майнинг","Madenciliği Durdur"
"mining-view.json","mining-button-text.changing-mode","Changing mode","Verander modus","更改模式","मोड बदल रहा है","Mengubah mode","モードを変更中","모드 변경 중","Zmiana trybu","Изменение режима","Mod değiştirme"
"mining-view.json","mining-button-text.cancel-mining","Cancel Mining","Kanselleer myn","取消挖矿","माइनिंग रद्द करें","Batalkan Penambangan","マイニングをキャンセル","채굴 취소","Anuluj kopanie","Отмена майнинга","Madenciyi İptal Et"
"mining-view.json","mining-button-text.waiting-for-idle","Waiting for Idle","Wag tot onaktief","等待空闲","निष्क्रिय होने की प्रतीक्षा","Menunggu Tidak Aktif","アイドル待機中","유휴 상태 대기 중","Oczekiwanie na bezczynność","Ожидание простоя","Boşta Bekliyor"
"mining-view.json","mining-button-text.started-auto-mining","Auto Mining Started","Outomatiese myn het begin","自动挖矿开始","स्वचालित माइनिंग शुरू हुई","Penambangan Otomatis Dimulai","自動マイニング開始","자동 채굴 시작됨","Automatyczne kopanie uruchomione","Авто-майнинг запущен","Otomatik Madencilik Başladı"
"sidebar.json","auto-miner","Auto Miner","Outomatiese mynwerker","自动采矿机","स्वचालित माइनर","Penambang Otomatis","自動マイナー","자동 마이너","Automatyczne kopanie","Авто-майнер","Otomatik Madenci"
"sidebar.json","auto-miner-description","Auto miner will turn on your miner when your machine is idle","Outomatiese mynwerker sal aanskakel wanneer jou masjien onaktief is","当您的机器闲置时，自动矿机将打开您的矿机","स्वचालित माइनर आपके माइनर को चालू करेगा जब आपकी मशीन निष्क्रिय होगी","Penambang otomatis akan menghidupkan penambang Anda saat mesin Anda tidak aktif","自動マイナーは、マシンがアイドル状態のときにマイナーを起動します","자동 마이너는 기기가 유휴 상태일 때 마이너를 켭니다","Automatyczne kopanie włączy koparkę, gdy twoje urządzenie będzie bezczynne","Авто-майнер включит ваш майнер, когда ваш компьютер будет в простое","Otomatik madenci, makineniz boştayken madencinizi açacaktır"
"sidebar.json","next-milestone","Next Milestone","Volgende mylpaal","下一个里程碑","अगला मील का पत्थर","Tonggak Berikutnya","次のマイルストーン","다음 이정표","Następny kamień milowy","Следующий этап","Sonraki Dönüm Noktası"
"sidebar.json","wallet-balance","Wallet Balance","Beursie balans","钱包余额","वॉलेट शेष","Saldo Dompet","ウォレット残高","지갑 잔액","Saldo portfela","Баланс кошелька","Cüzdan Bakiyesi"
"sidebar.json","setup-scheduler","Setup Scheduler","Stel skeduleerder op","安装计划程序","शेड्यूलर सेटअप करें","Atur Penjadwal","スケジューラの設定","스케줄러 설정","Ustawienia harmonogramu","Настройка планировщика","Kurulum Planlayıcısı"
"sidebar.json","mining-schedules","Mining Schedules","Mynskedules","采矿时间表","माइनिंग अनुसूचियाँ","Jadwal Penambangan","マイニングスケジュール","채굴 일정","Ustaw twój harmonogram kopania","Графики майнинга","Madencilik Planları"
"sidebar.json","mining-schedules-description","Schedule your mining activity","Skeduleer jou myn-aktiwiteit","安排您的采矿活动","अपनी माइनिंग गतिविधि का समय निर्धारित करें","Jadwalkan aktivitas penambangan Anda","マイニング活動をスケジュールする","채굴 활동을 예약하세요","Zaplanuj swoją aktywność wydobywczą","Запланируйте вашу майнинговую активность","Madencilik faaliyetinizi planlayın"
