"json_file","key","english","af","cn","de","fr","hi","id","ja","ko","pl","ru","tr"
"main.json","start_bridging","Start Bridging","","","","","","","","","","",""
"main.json","bridge_title_prefix","Bridge your","","","","","","","","","","",""
"main.json","xtm_token","XTM","","","","","","","","","","",""
"main.json","bridge_title_suffix_inline","to any chain","","","","","","","","","","",""
"main.json","bridge_title_suffix_break","to 
 any chain","","","","","","","","","","",""
"main.json","bridge_description_prefix","Wrap XTM to create wXTM on Ethereum. wXTM isn't your
everyday Ethereum token anon. It's a powerful ","","","","","","","","","","",""
"main.json","layerzero_oft","LayerZero 
OFT","","","","","","","","","","",""
"main.json","bridge_description_suffix"," that in future can exist on nearly any chain you desire.","","","","","","","","","","",""
"main.json","amount_to_bridge","Amount to Bridge","","","","","","","","","","",""
"main.json","network_icon_alt","{{network}} icon","","","","","","","","","","",""
"main.json","max","MAX","","","","","","","","","","",""
"main.json","eth_mainnet","ETH MAINNET","","","","","","","","","","",""
"main.json","connect_wallet","Connect Wallet","","","","","","","","","","",""
"main.json","connect_wallet_title","Connect a Wallet","","","","","","","","","","",""
"main.json","connect_wallet_subtitle","This will be the destination for your wXTM","","","","","","","","","","",""
"main.json","continue","Continue","","","","","","","","","","",""
"main.json","bridge_one_way_notice","Tari Bridge currently operates one way (XTM to wXTM). Tari contributors expect to launch wXTM unwrapping in July 2025 or sooner.
For more information about Tari Bridge please","","","","","","","","","","",""
"main.json","see_faq","see our FAQ","","","","","","","","","","",""
"main.json","view_smart_contract_audit","View smart contract audit","","","","","","","","","","",""
"main.json","clock_icon_alt","Clock icon","","","","","","","","","","",""
"main.json","tick_icon_alt","Tick icon","","","","","","","","","","",""
"main.json","success_wrapped","We've wrapped your {{amount}} {{fromToken}}!","","","","","","","","","","",""
"main.json","success_unwrapped","We've unwrapped your {{amount}} {{fromToken}}!","","","","","","","","","","",""
"main.json","conversion_complete","Your {{toToken}} conversion has been complete and your funds have been deposited into the address specified.","","","","","","","","","","",""
"main.json","amount_to_receive","Amount to receive","","","","","","","","","","",""
"main.json","destination_address","Destination address","","","","","","","","","","",""
"main.json","transaction_details","Transaction Details","","","","","","","","","","",""
"main.json","transaction_id","Transaction ID","","","","","","","","","","",""
"main.json","done","Done","","","","","","","","","","",""
"main.json","having_trouble","Having trouble?","","","","","","","","","","",""
"main.json","view_faqs","View FAQs","","","","","","","","","","",""
"main.json","close","Close","","","","","","","","","","",""
"main.json","wallet_icon_alt","Wallet icon","","","","","","","","","","",""
"main.json","timeout_icon_alt","Timeout","","","","","","","","","","",""
"main.json","something_went_wrong","Something went wrong","","","","","","","","","","",""
"main.json","wrap_failed_message","We couldn't complete your wrapping request in time.
Your XTM remains safe in your Tari wallet — it hasn't been deducted or moved.","","","","","","","","","","",""
"main.json","retry","Retry","","","","","","","","","","",""
"main.json","switch_network","Switch Network","","","","","","","","","","",""
"main.json","please_connect_supported_network","Please connect to one of our supported networks to continue","","","","","","","","","","",""
"main.json","click_to_switch","Click to switch","","","","","","","","","","",""
"main.json","unknown_transaction_status","Unknown transaction status.","","","","","","","","","","",""
"main.json","pending_title","We're {{action}} your {{amount}} {{fromToken}}","","","","","","","","","","",""
"main.json","pending_subtext","You'll receive {{amount}} {{fromToken}} in no more than {{bridgingTime}}. Funds are automatically transferred from your linked Tari Universe wallet. You don't need to do anything else.","","","","","","","","","","",""
"main.json","processing_title","Waiting for confirmation...","","","","","","","","","","",""
"main.json","processing_subtext","We've received your request. Your funds will be wrapped as soon as the process begins. No action is needed.","","","","","","","","","","",""
"main.json","success_title","We've {{action}} your {{amount}} {{fromToken}}!","","","","","","","","","","",""
"main.json","success_subtext","Your wXTM conversion has been complete and your funds have been deposited into the address specified.","","","","","","","","","","",""
"main.json","timeout_title","Oops! Your transaction has timed out!","","","","","","","","","","",""
"main.json","timeout_subtext","We couldn't complete your wrapping request in time. Your XTM remains safe in your Tari wallet — it hasn't been deducted or moved.","","","","","","","","","","",""
"main.json","tokens_received_title","{{fromToken}} received - wrapping soon","","","","","","","","","","",""
"main.json","tokens_received_subtext","We've received your {{fromToken}}. Wrapping is queued and will begin shortly. You'll get wXTM at your Ethereum address once complete.","","","","","","","","","","",""
"main.json","wrapping","wrapping","","","","","","","","","","",""
"main.json","unwrapping","unwrapping","","","","","","","","","","",""
"main.json","wrapped","wrapped","","","","","","","","","","",""
"main.json","unwrapped","unwrapped","","","","","","","","","","",""
