locale,status,label_key,json_file,translated_value,original_en_value,en_length,translated_length
pl,translated,success_title,main.json,Zrealizowaliśmy {{action}} twoje {{amount}} {{fromToken}}!,We've {{action}} your {{amount}} {{fromToken}}!,47,58
pl,translated,amount_to_bridge,main.json,Kwota do Przeniesienia,Amount to Bridge,16,22
pl,translated,bridge_description_prefix,main.json,Zamień XTM na wXTM na Ethereum. wXTM to nie jest zwykły token Ethereum. To potężny ,"Wrap XTM to create wXTM on Ethereum. wXTM isn't your
everyday Ethereum token anon. It's a powerful ",99,83
pl,translated,transaction_id,main.json,ID Transakcji,Transaction ID,14,13
pl,translated,wrap_failed_message,main.json,"Nie udało nam się zrealizować twojego żądania zamiany na czas.
Twoje XTM pozostaje bezpieczne w twoim portfelu Tari  nie zostało odjęte ani przeniesione.","We couldn't complete your wrapping request in time.
Your XTM remains safe in your Tari wallet  it hasn't been deducted or moved.",129,154
pl,translated,having_trouble,main.json,Masz problemy?,Having trouble?,15,14
pl,translated,max,main.json,MAKS,MAX,3,4
pl,translated,processing_title,main.json,Oczekiwanie na potwierdzenie...,Waiting for confirmation...,27,31
pl,translated,continue,main.json,Kontynuuj,Continue,8,9
pl,translated,bridge_description_suffix,main.json," który w przyszłości może istnieć na niemal dowolnym łańcuchu, jaki sobie życzysz.", that in future can exist on nearly any chain you desire.,57,82
pl,translated,wrapped,main.json,zamieniony,wrapped,7,10
pl,translated,connect_wallet_title,main.json,Połącz Portfel,Connect a Wallet,16,14
pl,translated,eth_mainnet,main.json,ETH GŁÓWNA SIEĆ,ETH MAINNET,11,15
pl,translated,tokens_received_title,main.json,{{fromToken}} otrzymane - wkrótce zamiana,{{fromToken}} received - wrapping soon,38,41
pl,translated,retry,main.json,Spróbuj ponownie,Retry,5,16
pl,translated,processing_subtext,main.json,"Otrzymaliśmy twoje żądanie. Twoje środki zostaną zamienione, gdy tylko proces się rozpocznie. Nie musisz nic robić.",We've received your request. Your funds will be wrapped as soon as the process begins. No action is needed.,107,115
pl,translated,please_connect_supported_network,main.json,"Proszę połączyć się z jedną z obsługiwanych sieci, aby kontynuować",Please connect to one of our supported networks to continue,59,66
pl,translated,unwrapping,main.json,odwijanie,unwrapping,10,9
pl,translated,layerzero_oft,main.json,"LayerZero 
OFT","LayerZero 
OFT",14,14
pl,translated,connect_wallet_subtitle,main.json,To będzie miejsce docelowe dla twojego wXTM,This will be the destination for your wXTM,42,43
pl,translated,bridge_title_prefix,main.json,Przenieś swoje,Bridge your,11,14
pl,translated,close,main.json,Zamknij,Close,5,7
pl,translated,destination_address,main.json,Adres docelowy,Destination address,19,14
pl,translated,pending_title,main.json,Pracujemy nad {{action}} twoje {{amount}} {{fromToken}},We're {{action}} your {{amount}} {{fromToken}},46,55
pl,translated,tokens_received_subtext,main.json,Otrzymaliśmy twoje {{fromToken}}. Zamiana jest w kolejce i wkrótce się rozpocznie. Otrzymasz wXTM na swój adres Ethereum po zakończeniu.,We've received your {{fromToken}}. Wrapping is queued and will begin shortly. You'll get wXTM at your Ethereum address once complete.,133,136
pl,translated,success_wrapped,main.json,Zamieniliśmy twoje {{amount}} {{fromToken}}!,We've wrapped your {{amount}} {{fromToken}}!,44,44
pl,translated,success_subtext,main.json,"Twoja konwersja wXTM została zakończona, a twoje środki zostały zdeponowane na wskazany adres.",Your wXTM conversion has been complete and your funds have been deposited into the address specified.,101,94
pl,translated,timeout_icon_alt,main.json,Przekroczenie czasu,Timeout,7,19
pl,translated,wallet_icon_alt,main.json,Ikona portfela,Wallet icon,11,14
pl,translated,bridge_title_suffix_break,main.json,"do 
 dowolnego łańcucha","to 
 any chain",14,23
pl,translated,connect_wallet,main.json,Połącz Portfel,Connect Wallet,14,14
pl,translated,unknown_transaction_status,main.json,Nieznany status transakcji.,Unknown transaction status.,27,27
pl,translated,switch_network,main.json,Zmień Sieć,Switch Network,14,10
pl,translated,pending_subtext,main.json,Otrzymasz {{amount}} {{fromToken}} w ciągu maksymalnie {{bridgingTime}}. Środki są automatycznie przenoszone z twojego powiązanego portfela Tari Universe. Nie musisz nic więcej robić.,You'll receive {{amount}} {{fromToken}} in no more than {{bridgingTime}}. Funds are automatically transferred from your linked Tari Universe wallet. You don't need to do anything else.,184,183
pl,translated,view_faqs,main.json,Zobacz FAQ,View FAQs,9,10
pl,translated,conversion_complete,main.json,"Twoja konwersja {{toToken}} została zakończona, a twoje środki zostały zdeponowane na wskazany adres.",Your {{toToken}} conversion has been complete and your funds have been deposited into the address specified.,108,101
pl,translated,something_went_wrong,main.json,Coś poszło nie tak,Something went wrong,20,18
